Fecha,Gasolina Regular,Gasolina Superior,Gas Propano,Diesel
2016-07-01,465270.48,562778.84,350429.77,883716.04
2016-08-01,485995.83,585748.5,363859.51,866270.02
2016-09-01,456946.75,548491.65,356426.23,877800.56
2016-10-01,476277.64,573754.73,373503.78,916410.7
2016-11-01,463726.21,547323.53,372904.63,1019671.97
2016-12-01,524242.31,615251.51,372690.46,1113827.1
2017-01-01,477291.93,546212.16,358706.82,1079339.3
2017-02-01,453665.32,526888.94,357497.97,1052536.01
2017-03-01,523943.6,592249.34,351791.93,1216423.42
2017-04-01,500063.03,530345.96,360957.7,1032813.29
2017-05-01,516884.37,588861.62,377492.16,1034806.24
2017-06-01,478491.95,549378.05,378328.46,897511.89
2017-07-01,521730.41,607702.7,369948.64,938887.64
2017-08-01,514086.57,604650.34,385834.28,950188.14
2017-09-01,492618.55,560892.67,447373.59,894363.58
2017-10-01,512762.32,583658.83,393901.92,935986.17
2017-11-01,510631.29,563345.61,409332.86,1038598.26
2017-12-01,574097.7,635423.76,404574.36,1117711.45
2018-01-01,528763.3,581802.98,421848.92,1105628.89
2018-02-01,502041.67,545210.0,379239.07,1072071.67
2018-03-01,571052.13,618402.18,415125.9,1194136.18
2018-04-01,526979.67,565665.72,370434.61,1108452.97
2018-05-01,544395.17,570129.66,403094.74,1009750.15
2018-06-01,518911.44,554431.5,390070.17,930065.0
2018-07-01,541811.12,589775.97,381128.08,950343.54
2018-08-01,570224.11,593659.63,407124.75,991818.15
2018-09-01,531285.29,551547.83,385717.79,882303.53
2018-10-01,573751.47,579474.43,408674.34,969095.04
2018-11-01,563417.57,573687.35,408049.58,1061941.91
2018-12-01,632670.17,654281.25,421872.09,1106130.25
2019-01-01,596682.75,601714.9,421555.41,1152949.52
2019-02-01,559109.22,565425.02,402371.33,1103358.49
2019-03-01,645266.77,610720.58,428149.45,1228025.34
2019-04-01,657570.18,598956.3,414018.68,1160125.11
2019-05-01,666748.63,611592.32,426587.33,1134666.18
2019-06-01,641136.56,595744.38,399031.61,1012030.47
2019-07-01,650150.78,615559.33,419958.02,1030649.68
2019-08-01,668783.39,632415.7,419493.82,1070198.1
2019-09-01,616079.3,587861.84,396860.64,973358.44
2019-10-01,669008.77,643044.33,433917.15,1043629.53
2019-11-01,643070.35,620572.21,430725.89,1122734.55
2019-12-01,706020.77,682468.14,428697.64,1175724.83
2020-01-01,640011.73,622323.79,421644.72,1184419.19
2020-02-01,652028.0,633100.05,426533.15,1233250.24
2020-03-01,573586.73,509752.95,420637.14,1100813.77
